ntp_time,throughput,durasi
1669714690.519096,32618.0,1.0
1669714691.519096,32618.0,1.0
1669714692.519096,30846.0,1.0
1669714693.519096,84555.0,1.0
1669714694.519096,32735.0,1.0
1669714695.519096,5798.0,1.0
1669714696.519096,0.0,1.0
1669714697.519096,0.0,1.0
1669714698.519096,90198.0,1.0
1669714699.519096,17116.0,1.0
1669714700.519096,0.0,1.0
1669714701.519096,0.0,1.0
1669714702.519096,0.0,1.0
1669714703.519096,0.0,1.0
1669714704.519096,0.0,1.0
1669714705.519096,0.0,1.0
1669714706.519096,0.0,1.0
1669714707.519096,0.0,1.0
1669714708.519096,82096.0,1.0
1669714709.519096,1622.0,1.0
1669714710.519096,0.0,1.0
1669714711.519096,80648.0,1.0
1669714712.519096,21259.0,1.0
1669714713.519096,73737.0,1.0
1669714714.519096,32292.0,1.0
1669714715.519096,70565.0,1.0
1669714716.519096,32590.0,1.0
1669714717.519096,3060.0,1.0
1669714718.519096,0.0,1.0
1669714719.519096,0.0,1.0
1669714720.519096,0.0,1.0
1669714721.519096,0.0,1.0
1669714722.519096,85916.0,1.0
1669714723.519096,57437.0,1.0
1669714724.519096,32575.0,1.0
1669714725.519096,32575.0,1.0
1669714726.519096,31216.0,1.0
1669714727.519096,40938.0,1.0
1669714728.519096,42606.0,1.0
1669714729.519096,9904.0,1.0
1669714730.519096,61799.0,1.0
1669714731.519096,20244.0,1.0
1669714732.519096,0.0,1.0
1669714733.519096,0.0,1.0
1669714734.519096,66251.0,1.0
1669714735.519096,14009.0,1.0
1669714736.519096,65679.0,1.0
1669714737.519096,28205.0,1.0
1669714738.519096,46855.0,1.0
1669714739.519096,2554.0,1.0
1669714740.519096,54227.0,1.0
1669714741.519096,20541.0,1.0
1669714742.519096,0.0,1.0
1669714743.519096,0.0,1.0
1669714744.519096,0.0,1.0
1669714745.519096,0.0,1.0
1669714746.519096,0.0,1.0
1669714747.519096,0.0,1.0
1669714748.519096,41828.0,1.0
1669714749.519096,28363.0,1.0
1669714750.519096,31770.0,1.0
1669714751.519096,14794.0,1.0
1669714752.519096,0.0,1.0
1669714753.519096,36096.0,1.0
1669714754.519096,24000.0,1.0
1669714755.519096,27826.0,1.0
1669714756.519096,5737.0,1.0
1669714757.519096,0.0,1.0
1669714758.519096,0.0,1.0
1669714759.519096,0.0,1.0
1669714760.519096,47571.0,1.0
1669714761.519096,29789.0,1.0
1669714762.519096,16041.0,1.0
1669714763.519096,0.0,1.0
1669714764.519096,0.0,1.0
1669714765.519096,0.0,1.0
1669714766.519096,46968.0,1.0
1669714767.519096,7297.0,1.0
1669714768.519096,0.0,1.0
1669714769.519096,0.0,1.0
1669714770.519096,62194.0,1.0
1669714771.519096,32629.0,1.0
1669714772.519096,6409.0,1.0
1669714773.519096,0.0,1.0
1669714774.519096,0.0,1.0
1669714775.519096,0.0,1.0
1669714776.519096,44597.0,1.0
1669714777.519096,31142.0,1.0
1669714778.519096,7722.0,1.0
1669714779.519096,0.0,1.0
1669714780.519096,0.0,1.0
1669714781.519096,0.0,1.0
1669714782.519096,45196.0,1.0
1669714783.519096,32368.0,1.0
1669714784.519096,14156.0,1.0
1669714785.519096,0.0,1.0
1669714786.519096,0.0,1.0
1669714787.519096,56953.0,1.0
1669714788.519096,4456.0,1.0
1669714789.519096,0.0,1.0
1669714790.519096,0.0,1.0
1669714791.519096,0.0,1.0
1669714792.519096,0.0,1.0
1669714793.519096,0.0,1.0
1669714794.519096,0.0,1.0
1669714795.519096,0.0,1.0
1669714796.519096,0.0,1.0
1669714797.519096,41757.0,1.0
1669714798.519096,29267.0,1.0
1669714799.519096,31194.0,1.0
1669714800.519096,12593.0,1.0
1669714801.519096,0.0,1.0
1669714802.519096,0.0,1.0
1669714803.519096,0.0,1.0
1669714804.519096,0.0,1.0
1669714805.519096,43829.0,1.0
1669714806.519096,29584.0,1.0
1669714807.519096,32404.0,1.0
1669714808.519096,38379.0,1.0
1669714809.519096,17194.0,1.0
1669714810.519096,51870.0,1.0
1669714811.519096,4511.0,1.0
1669714812.519096,0.0,1.0
1669714813.519096,0.0,1.0
1669714814.519096,0.0,1.0
1669714815.519096,0.0,1.0
1669714816.519096,0.0,1.0
1669714817.519096,54065.0,1.0
1669714818.519096,24971.0,1.0
1669714819.519096,0.0,1.0
1669714820.519096,43835.0,1.0
1669714821.519096,12449.0,1.0
1669714822.519096,0.0,1.0
1669714823.519096,0.0,1.0
1669714824.519096,45548.0,1.0
1669714825.519096,29794.0,1.0
1669714826.519096,34086.0,1.0
1669714827.519096,12421.0,1.0
1669714828.519096,0.0,1.0
1669714829.519096,0.0,1.0
1669714830.519096,50249.0,1.0
1669714831.519096,12166.0,1.0
1669714832.519096,0.0,1.0
1669714833.519096,0.0,1.0
1669714834.519096,42379.0,1.0
1669714835.519096,3858.0,1.0
1669714836.519096,0.0,1.0
1669714837.519096,0.0,1.0
1669714838.519096,0.0,1.0
1669714839.519096,0.0,1.0
1669714840.519096,0.0,1.0
1669714841.519096,0.0,1.0
1669714842.519096,47680.0,1.0
1669714843.519096,70687.0,1.0
1669714844.519096,16504.0,1.0
1669714845.519096,0.0,1.0
1669714846.519096,0.0,1.0
1669714847.519096,0.0,1.0
1669714848.519096,42975.0,1.0
1669714849.519096,5416.0,1.0
1669714850.519096,0.0,1.0
1669714851.519096,42177.0,1.0
1669714852.519096,33528.0,1.0
1669714853.519096,12993.0,1.0
1669714854.519096,0.0,1.0
1669714855.519096,0.0,1.0
1669714856.519096,0.0,1.0
1669714857.519096,0.0,1.0
1669714858.519096,0.0,1.0
1669714859.519096,0.0,1.0
1669714860.519096,47800.0,1.0
1669714861.519096,3280.0,1.0
1669714862.519096,0.0,1.0
1669714863.519096,39033.0,1.0
1669714864.519096,27204.0,1.0
1669714865.519096,8875.0,1.0
1669714866.519096,0.0,1.0
1669714867.519096,56646.0,1.0
1669714868.519096,21332.0,1.0
1669714869.519096,46231.0,1.0
1669714870.519096,39558.0,1.0
1669714871.519096,10510.0,1.0
1669714872.519096,0.0,1.0
1669714873.519096,0.0,1.0
1669714874.519096,60820.0,1.0
1669714875.519096,22805.0,1.0
1669714876.519096,58118.0,1.0
1669714877.519096,16827.0,1.0
1669714878.519096,61453.0,1.0
1669714879.519096,8727.0,1.0
1669714880.519096,0.0,1.0
1669714881.519096,0.0,1.0
1669714882.519096,42340.0,1.0
1669714883.519096,2945.0,1.0
1669714884.519096,0.0,1.0
1669714885.519096,56811.0,1.0
1669714886.519096,45261.0,1.0
1669714887.519096,23256.0,1.0
1669714888.519096,0.0,1.0
1669714889.519096,0.0,1.0
1669714890.519096,45205.0,1.0
1669714891.519096,39646.0,1.0
1669714892.519096,16965.0,1.0
1669714893.519096,63653.0,1.0
1669714894.519096,10363.0,1.0
1669714895.519096,58426.0,1.0
1669714896.519096,14904.0,1.0
1669714897.519096,0.0,1.0
1669714898.519096,0.0,1.0
1669714899.519096,0.0,1.0
1669714900.519096,0.0,1.0
1669714901.519096,47404.0,1.0
1669714902.519096,532.0,1.0
1669714903.519096,0.0,1.0
1669714904.519096,0.0,1.0
1669714905.519096,0.0,1.0
1669714906.519096,0.0,1.0
1669714907.519096,0.0,1.0
1669714908.519096,61233.0,1.0
1669714909.519096,8080.0,1.0
1669714910.519096,59874.0,1.0
1669714911.519096,18685.0,1.0
1669714912.519096,0.0,1.0
1669714913.519096,49370.0,1.0
1669714914.519096,15921.0,1.0
1669714915.519096,0.0,1.0
1669714916.519096,0.0,1.0
1669714917.519096,0.0,1.0
1669714918.519096,50226.0,1.0
1669714919.519096,3229.0,1.0
1669714920.519096,0.0,1.0
1669714921.519096,0.0,1.0
1669714922.519096,0.0,1.0
1669714923.519096,0.0,1.0
1669714924.519096,0.0,1.0
1669714925.519096,0.0,1.0
1669714926.519096,0.0,1.0
1669714927.519096,0.0,1.0
1669714928.519096,46288.0,1.0
1669714929.519096,30892.0,1.0
1669714930.519096,35166.0,1.0
1669714931.519096,17569.0,1.0
1669714932.519096,0.0,1.0
1669714933.519096,0.0,1.0
1669714934.519096,0.0,1.0
1669714935.519096,50209.0,1.0
1669714936.519096,20623.0,1.0
1669714937.519096,114495.0,1.0
1669714938.519096,252.0,1.0
1669714939.519096,0.0,1.0
1669714940.519096,0.0,1.0
1669714941.519096,0.0,1.0
1669714942.519096,0.0,1.0
1669714943.519096,0.0,1.0
1669714944.519096,0.0,1.0
1669714945.519096,0.0,1.0
1669714946.519096,52007.0,1.0
1669714947.519096,40747.0,1.0
1669714948.519096,32568.0,1.0
1669714949.519096,2576.0,1.0
1669714950.519096,0.0,1.0
1669714951.519096,0.0,1.0
1669714952.519096,95085.0,1.0
1669714953.519096,5155.0,1.0
1669714954.519096,0.0,1.0
1669714955.519096,0.0,1.0
1669714956.519096,60258.0,1.0
1669714957.519096,20546.0,1.0
1669714958.519096,53919.0,1.0
1669714959.519096,7904.0,1.0
1669714960.519096,0.0,1.0
1669714961.519096,0.0,1.0
1669714962.519096,0.0,1.0
1669714963.519096,0.0,1.0
1669714964.519096,43670.0,1.0
1669714965.519096,3105.0,1.0
1669714966.519096,0.0,1.0
1669714967.519096,0.0,1.0
1669714968.519096,0.0,1.0
1669714969.519096,0.0,1.0
1669714970.519096,56394.0,1.0
1669714971.519096,20787.0,1.0
1669714972.519096,0.0,1.0
1669714973.519096,45725.0,1.0
1669714974.519096,5335.0,1.0
1669714975.519096,0.0,1.0
1669714976.519096,0.0,1.0
1669714977.519096,0.0,1.0
1669714978.519096,0.0,1.0
1669714979.519096,36605.0,1.0
1669714980.519096,27006.0,1.0
1669714981.519096,7445.0,1.0
1669714982.519096,0.0,1.0
1669714983.519096,0.0,1.0
1669714984.519096,0.0,1.0
1669714985.519096,50205.0,1.0
1669714986.519096,4903.0,1.0
1669714987.519096,54768.0,1.0
1669714988.519096,36210.0,1.0
1669714989.519096,19254.0,1.0
1669714990.519096,52892.0,1.0
1669714991.519096,4257.0,1.0
1669714992.519096,0.0,1.0
1669714993.519096,0.0,1.0
1669714994.519096,0.0,1.0
1669714995.519096,0.0,1.0
1669714996.519096,57319.0,1.0
1669714997.519096,2077.0,1.0
1669714998.519096,0.0,1.0
1669714999.519096,0.0,1.0
1669715000.519096,0.0,1.0
1669715001.519096,0.0,1.0
1669715002.519096,45468.0,1.0
1669715003.519096,32684.0,1.0
1669715004.519096,15940.0,1.0
1669715005.519096,0.0,1.0
1669715006.519096,52055.0,1.0
1669715007.519096,35252.0,1.0
1669715008.519096,23768.0,1.0
1669715009.519096,49984.0,1.0
1669715010.519096,36203.0,1.0
1669715011.519096,16289.0,1.0
1669715012.519096,47096.0,1.0
1669715013.519096,1400.0,1.0
1669715014.519096,0.0,1.0
1669715015.519096,0.0,1.0
1669715016.519096,0.0,1.0
1669715017.519096,0.0,1.0
1669715018.519096,54325.0,1.0
1669715019.519096,20064.0,1.0
1669715020.519096,0.0,1.0
1669715021.519096,0.0,1.0
1669715022.519096,0.0,1.0
1669715023.519096,0.0,1.0
1669715024.519096,0.0,1.0
